date,venue_code,race_number,data_type,data_json
20251228,01,11,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":1,""race_number"":11,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":3.0,""race_water_temperature"":7.0,""boats"":{""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.08,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.11,""racer_weight"":53.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.72,""racer_tilt_adjustment"":0.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.18,""racer_weight"":54.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.67,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.01,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.64,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.09,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":0.0},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.05,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5}}}"
20251228,01,12,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":1,""race_number"":12,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":2.0,""race_water_temperature"":7.0,""boats"":{""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.58,""racer_weight"":54.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.73,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.01,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.01,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.66,""racer_tilt_adjustment"":0.0},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.07,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.69,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":-0.06,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.66,""racer_tilt_adjustment"":0.0},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.11,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,1,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":1,""race_wind"":1.0,""race_wind_direction_number"":10.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.06,""racer_weight"":47.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.72,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.02,""racer_weight"":52.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.15,""racer_weight"":59.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.73,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.04,""racer_weight"":54.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.04,""racer_weight"":47.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":0.0}}}"
20251228,02,2,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":2,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":5.0,""race_water_temperature"":6.0,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.11,""racer_weight"":55.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.01,""racer_weight"":53.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.08,""racer_weight"":56.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.14,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.01,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.02,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,3,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":3,""race_wind"":1.0,""race_wind_direction_number"":6.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":6.0,""boats"":{""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.02,""racer_weight"":47.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":3,""racer_start_timing"":0.04,""racer_weight"":55.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":5,""racer_start_timing"":-0.01,""racer_weight"":53.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":2,""racer_start_timing"":-0.01,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.07,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":0.0},""2"":{""racer_boat_number"":2,""racer_course_number"":4,""racer_start_timing"":-0.05,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,4,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":4,""race_wind"":2.0,""race_wind_direction_number"":6.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":8.0,""race_water_temperature"":6.0,""boats"":{""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.05,""racer_weight"":45.5,""racer_weight_adjustment"":1.5,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.09,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.16,""racer_weight"":50.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.03,""racer_weight"":55.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.67,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.08,""racer_weight"":52.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.05,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,5,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":5,""race_wind"":3.0,""race_wind_direction_number"":6.0,""race_wave"":2.0,""race_weather_number"":1.0,""race_temperature"":9.0,""race_water_temperature"":6.0,""boats"":{""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.03,""racer_weight"":55.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.07,""racer_weight"":47.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.72,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.03,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.76,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.1,""racer_weight"":47.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.81,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.04,""racer_weight"":52.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.11,""racer_weight"":52.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.98,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,6,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":6,""race_wind"":3.0,""race_wind_direction_number"":6.0,""race_wave"":2.0,""race_weather_number"":1.0,""race_temperature"":9.0,""race_water_temperature"":6.0,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.15,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":0.0},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.01,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.73,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.14,""racer_weight"":59.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.05,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.05,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.02,""racer_weight"":49.5,""racer_weight_adjustment"":2.5,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,7,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":7,""race_wind"":3.0,""race_wind_direction_number"":6.0,""race_wave"":2.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.07,""racer_weight"":55.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.13,""racer_weight"":54.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.06,""racer_weight"":55.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":-0.09,""racer_weight"":54.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.04,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.02,""racer_weight"":53.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.73,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,8,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":8,""race_wind"":2.0,""race_wind_direction_number"":6.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.11,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.88,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.16,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.19,""racer_weight"":53.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.03,""racer_weight"":55.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.09,""racer_weight"":50.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.03,""racer_weight"":47.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":0.0}}}"
20251228,02,9,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":9,""race_wind"":1.0,""race_wind_direction_number"":6.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.09,""racer_weight"":47.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.19,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.04,""racer_weight"":53.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.11,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.18,""racer_weight"":54.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":0.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.07,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,10,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":10,""race_wind"":1.0,""race_wind_direction_number"":8.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.03,""racer_weight"":45.5,""racer_weight_adjustment"":1.5,""racer_exhibition_time"":6.66,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.01,""racer_weight"":49.5,""racer_weight_adjustment"":2.5,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.06,""racer_weight"":52.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.69,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.12,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.68,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.1,""racer_weight"":52.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.61,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,11,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":11,""race_wind"":1.0,""race_wind_direction_number"":10.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":11.0,""race_water_temperature"":6.0,""boats"":{""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.05,""racer_weight"":54.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.14,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.65,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.03,""racer_weight"":52.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.65,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.07,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.13,""racer_weight"":50.5,""racer_weight_adjustment"":1.5,""racer_exhibition_time"":6.64,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.17,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":-0.5}}}"
20251228,02,12,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":2,""race_number"":12,""race_wind"":1.0,""race_wind_direction_number"":8.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":6.0,""boats"":{""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.11,""racer_weight"":55.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.67,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.12,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.07,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.61,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.03,""racer_weight"":55.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.76,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.14,""racer_weight"":53.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.69,""racer_tilt_adjustment"":-0.5}}}"
20251228,03,1,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":3,""race_number"":1,""race_wind"":2.0,""race_wind_direction_number"":14.0,""race_wave"":5.0,""race_weather_number"":1.0,""race_temperature"":10.0,""race_water_temperature"":12.0,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.25,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.96,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.01,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.96,""racer_tilt_adjustment"":0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":-0.04,""racer_weight"":52.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":7.16,""racer_tilt_adjustment"":0.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.17,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.92,""racer_tilt_adjustment"":0.0},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.35,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.98,""racer_tilt_adjustment"":0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.23,""racer_weight"":54.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.9,""racer_tilt_adjustment"":0.0}}}"
20251228,03,2,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":3,""race_number"":2,""race_wind"":2.0,""race_wind_direction_number"":12.0,""race_wave"":5.0,""race_weather_number"":1.0,""race_temperature"":8.0,""race_water_temperature"":12.0,""boats"":{""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.11,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":0.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":7.0,""racer_tilt_adjustment"":0.0},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.01,""racer_weight"":54.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.97,""racer_tilt_adjustment"":1.0},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.02,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.04,""racer_weight"":54.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.91,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.01,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.95,""racer_tilt_adjustment"":0.0}}}"
20251228,03,3,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":3,""race_number"":3,""race_wind"":3.0,""race_wind_direction_number"":12.0,""race_wave"":5.0,""race_weather_number"":1.0,""race_temperature"":8.0,""race_water_temperature"":12.0,""boats"":{""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.14,""racer_weight"":54.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.81,""racer_tilt_adjustment"":1.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.02,""racer_weight"":53.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":0.0},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.01,""racer_weight"":52.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.12,""racer_weight"":52.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.9,""racer_tilt_adjustment"":0.0},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.28,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.89,""racer_tilt_adjustment"":0.0},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.12,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.96,""racer_tilt_adjustment"":0.5}}}"
20251228,03,4,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":3,""race_number"":4,""race_wind"":3.0,""race_wind_direction_number"":12.0,""race_wave"":5.0,""race_weather_number"":1.0,""race_temperature"":9.0,""race_water_temperature"":12.0,""boats"":{""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.03,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.11,""racer_weight"":52.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.93,""racer_tilt_adjustment"":1.0},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.01,""racer_weight"":54.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.15,""racer_weight"":56.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.93,""racer_tilt_adjustment"":0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.01,""racer_weight"":55.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.91,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.01,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":0.5}}}"
